market,selection,odds,format,source,timestamp
tournament_winner,Spain,450,american,FOX Sports,2026-06-10
tournament_winner,France,500,american,FOX Sports,2026-06-10
tournament_winner,England,700,american,FOX Sports,2026-06-10
tournament_winner,Brazil,850,american,FOX Sports,2026-06-10
tournament_winner,Portugal,850,american,FOX Sports,2026-06-10
tournament_winner,Argentina,1000,american,FOX Sports,2026-06-10
tournament_winner,Germany,1300,american,FOX Sports,2026-06-10
tournament_winner,Netherlands,1600,american,FOX Sports,2026-06-10
tournament_winner,Belgium,2200,american,FOX Sports,2026-06-10
tournament_winner,Norway,3300,american,FOX Sports,2026-06-10
tournament_winner,Colombia,4000,american,FOX Sports,2026-06-10
tournament_winner,Morocco,5000,american,FOX Sports,2026-06-10
tournament_winner,United States,5000,american,FOX Sports,2026-06-10
tournament_winner,Japan,5000,american,FOX Sports,2026-06-10
tournament_winner,Uruguay,5500,american,FOX Sports,2026-06-10
tournament_winner,Mexico,5500,american,FOX Sports,2026-06-10
tournament_winner,Switzerland,6500,american,FOX Sports,2026-06-10
tournament_winner,Croatia,7500,american,FOX Sports,2026-06-10
